Data Source File,middle-names.txt
Memory Manager Type,First Fit
Total Memory Allocated by sbrk (bytes),16856
Size of freedMBList,1757
Size of allocMBList,950
Number of Times Blocks were Split,852
Number of Times Blocks were Merged,595
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x55b3630a82c0,7,0x55b36306f500,Kelwin
0x55b363068be0,4,0x55b36306f520,Ken
0x55b3630a85c0,7,0x55b36306f580,Kendal
0x55b3630a8780,8,0x55b36306f5e0,Kendall
0x55b3630a88c0,8,0x55b36306f640,Kendell
0x55b3630a8ac0,9,0x55b36306f6a0,Kendrick
0x55b3630a8f00,10,0x55b36306f700,Kendricks
0x55b3630a72c0,5,0x55b36306f760,Kenn
0x55b3630a8b80,7,0x55b36306f7c0,Kennan
0x55b3630a8c40,8,0x55b36306f7e0,Kennedy
0x55b3630a9000,8,0x55b36306f840,Kenneth
0x55b3630a9300,8,0x55b36306f8a0,Kennett
0x55b3630a9600,7,0x55b36306f900,Kennie
0x55b3630a96c0,8,0x55b36306f920,Kennith
0x55b3630a79c0,6,0x55b36306f940,Kenny
0x55b3630a8340,6,0x55b36306f960,Kenon
0x55b3630a77c0,5,0x55b36306f980,Kent
0x55b3630a9780,7,0x55b36306f9e0,Kenton
0x55b3630a9ac0,7,0x55b36306fa40,Kenyon
0x55b36306d040,4,0x55b36306fa60,Ker
0x55b3630a8a40,6,0x55b36306fa80,Kerby
0x55b3630a8100,5,0x55b36306faa0,Kerk
0x55b3630a9c80,7,0x55b36306fb00,Kermie
0x55b3630a9e80,7,0x55b36306fb60,Kermit
0x55b3630a9800,6,0x55b36306fb80,Kermy
0x55b3630a8e40,5,0x55b36306fba0,Kerr
0x55b3630aa140,6,0x55b36306fc00,Kerry
0x55b3630aa240,7,0x55b36306fc60,Kerwin
0x55b3630aa4c0,8,0x55b36306fcc0,Kerwinn
0x55b363069180,4,0x55b36306fce0,Kev
0x55b3630aa600,6,0x55b36306fd00,Kevan
0x55b3630aa700,6,0x55b36306fd60,Keven
0x55b3630aa780,6,0x55b36306fdc0,Kevin
0x55b3630aa8c0,6,0x55b36306fe20,Kevon
0x55b3630aa980,7,0x55b36306fe40,Khalil
0x55b3630a9940,5,0x55b36306fe60,Kiel
0x55b3630aaac0,7,0x55b36306fec0,Kienan
0x55b3630a9a00,5,0x55b36306fee0,Kile
0x55b3630aaa00,6,0x55b36306ff00,Kiley
0x55b3630aab80,7,0x55b36306ff60,Kilian
0x55b3630aad80,8,0x55b36306ffc0,Killian
0x55b3630aaec0,7,0x55b363070020,Killie
0x55b3630ab080,6,0x55b363070040,Killy
0x55b36306e700,4,0x55b363070060,Kim
0x55b3630ab4c0,8,0x55b363070080,Kimball
0x55b3630aba40,8,0x55b3630700e0,Kimbell
0x55b3630ab240,7,0x55b363070100,Kimble
0x55b3630a2300,4,0x55b363070120,Kin
0x55b3630ac0c0,8,0x55b363070180,Kincaid
0x55b3630ab140,5,0x55b3630701e0,King
0x55b3630ac340,9,0x55b363070240,Kingsley
0x55b3630ac6c0,8,0x55b3630702a0,Kingsly
0x55b3630ac840,9,0x55b363070300,Kingston
0x55b3630ab540,7,0x55b363070320,Kinnie
0x55b3630ab7c0,6,0x55b363070380,Kinny
0x55b3630ac9c0,8,0x55b3630703e0,Kinsley
0x55b3630a36c0,4,0x55b363070400,Kip
0x55b3630ab340,5,0x55b363070420,Kipp
