Data Source File,first-names.txt
Memory Manager Type,First Fit
Total Memory Allocated by sbrk (bytes),21435
Size of freedMBList,2421
Size of allocMBList,990
Number of Times Blocks were Split,1180
Number of Times Blocks were Merged,759
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x55f37155f2f0,8,0x55f371567cd0,Gwenora
0x55f37155e430,7,0x55f371567d50,Gustie
0x55f371561710,1
0x55f37155dc50,3
0x55f37155d040,8,0x55f371567fd0,Claudie
0x55f371563d50,6,0x55f371568010,Glori
0x55f3715ab990,8,0x55f371568090,Colline
0x55f37155d9b0,7,0x55f3715680d0,Guenna
0x55f3715abe50,10,0x55f371568410,Constanta
0x55f37155bc00,9,0x55f371568690,Cinnamon
0x55f371576dd0,6,0x55f371568950,Lilly
0x55f3715ab710,7,0x55f371568a50,Collen
0x55f37155ebd0,9,0x55f371568b10,Collette
0x55f37155e1f0,8,0x55f371568c10,Gusella
0x55f3715abcd0,9,0x55f371568c50,Gretchen
0x55f37155d000,6,0x55f371568d50,Linea
0x55f371575150,10,0x55f371568e50,Guendolen
0x55f3715693b0,7,0x55f371568ed0,Clovis
0x55f3715abbb0,4,0x55f3715690d0,Clo
0x55f37155c0c0,7,0x55f371569250,Clarey
0x55f37155b880,11,0x55f371569290,Cinderella
0x55f37155c9e0,8,0x55f3715693f0,Coralie
0x55f37155dd30,9,0x55f371569410,Coraline
0x55f37155d670,8,0x55f371569430,Coralyn
0x55f37155df30,9,0x55f371569490,Cordelia
0x55f37155e170,9,0x55f3715694f0,Cordelie
0x55f37155d3f0,7,0x55f371569510,Cordey
0x55f371563c50,6,0x55f371569530,Cordi
0x55f37155d6f0,7,0x55f371569550,Cordie
0x55f37155e230,8,0x55f3715695b0,Cordula
0x55f37155d850,6,0x55f3715695d0,Cordy
0x55f37155e2f0,7,0x55f371569630,Coreen
0x55f37155e3f0,8,0x55f371569690,Corella
0x55f37155e4b0,8,0x55f3715696b0,Corenda
0x55f37155e530,7,0x55f371569710,Corene
0x55f37155e730,8,0x55f371569770,Coretta
0x55f37155e7b0,8,0x55f371569790,Corette
0x55f3715ab690,6,0x55f3715697b0,Corey
0x55f371568d90,5,0x55f3715697d0,Cori
0x55f37155dbf0,6,0x55f3715697f0,Corie
0x55f37155ebb0,8,0x55f371569850,Corilla
0x55f37155e870,7,0x55f371569870,Corina
0x55f37155ea30,7,0x55f371569890,Corine
0x55f37155ec70,8,0x55f3715698f0,Corinna
0x55f37155edf0,8,0x55f371569950,Corinne
0x55f37155eaf0,7,0x55f371569970,Coriss
0x55f37155ef30,8,0x55f3715699d0,Corissa
0x55f37155f170,8,0x55f371569a30,Corliss
0x55f37155e8f0,6,0x55f371569a50,Corly
0x55f37155f330,8,0x55f371569ab0,Cornela
0x55f37155f470,9,0x55f371569b10,Cornelia
0x55f37155f6b0,9,0x55f371569b70,Cornelle
0x55f37155f5b0,7,0x55f371569b90,Cornie
0x55f37155eeb0,6,0x55f371569bb0,Corny
0x55f37155f930,8,0x55f371569c10,Correna
0x55f37155f830,7,0x55f371569c30,Correy
0x55f37155f630,6,0x55f371569c50,Corri
0x55f37155fab0,10,0x55f371569cb0,Corrianne
0x55f37155f8b0,7,0x55f371569cd0,Corrie
0x55f37155fa30,8,0x55f371569cf0,Corrina
0x55f37155fdb0,8,0x55f371569d50,Corrine
0x55f37155ff30,9,0x55f371569db0,Corrinne
0x55f37155fbf0,6,0x55f371569e10,Corry
0x55f371560030,8,0x55f371569e70,Cortney
0x55f37155d710,5,0x55f371569e90,Cory
0x55f3715600b0,8,0x55f371569ef0,Cosetta
0x55f3715601f0,8,0x55f371569f50,Cosette
0x55f371560530,9,0x55f371569fb0,Costanza
0x55f3715608f0,10,0x55f37156a010,Courtenay
0x55f371560c70,9,0x55f37156a070,Courtnay
0x55f371560e30,9,0x55f37156a090,Courtney
0x55f37155f0b0,5,0x55f37156a0b0,Crin
0x55f37155fcb0,5,0x55f37156a110,Cris
0x55f3715607b0,8,0x55f37156a130,Crissie
0x55f371560430,7,0x55f37156a150,Crissy
0x55f371560a30,7,0x55f37156a1b0,Crista
0x55f371560f30,10,0x55f37156a210,Cristabel
0x55f371560eb0,8,0x55f37156a230,Cristal
0x55f371561070,8,0x55f37156a290,Cristen
0x55f371560b70,7,0x55f37156a2b0,Cristi
0x55f371561170,8,0x55f37156a310,Cristie
0x55f3715612b0,8,0x55f37156a370,Cristin
0x55f3715613f0,9,0x55f37156a3d0,Cristina
0x55f3715614b0,9,0x55f37156a430,Cristine
0x55f3715615f0,11,0x55f37156a490,Cristionna
0x55f371561230,7,0x55f37156a4b0,Cristy
0x55f3715617f0,7,0x55f37156a510,Crysta
0x55f371561970,8,0x55f37156a570,Crystal
0x55f371561ab0,8,0x55f37156a5d0,Crystie
0x55f371561bf0,8,0x55f37156a630,Cthrine
0x55f371565c10,4,0x55f37156a650,Cyb
0x55f3715603b0,6,0x55f37156a670,Cybil
0x55f371561cf0,7,0x55f37156a6d0,Cybill
0x55f371561e30,7,0x55f37156a730,Cymbre
0x55f371560730,6,0x55f37156a750,Cynde
0x55f371560870,6,0x55f37156a770,Cyndi
0x55f371561eb0,7,0x55f37156a7d0,Cyndia
0x55f371561f70,7,0x55f37156a830,Cyndie
0x55f3715620b0,6,0x55f37156a890,Cyndy
0x55f371562170,8,0x55f37156a8f0,Cynthea
0x55f3715623f0,8,0x55f37156a950,Cynthia
0x55f3715625f0,8,0x55f37156a9b0,Cynthie
0x55f3715624b0,7,0x55f37156a9d0,Cynthy
0x55f3715622f0,6,0x55f37156a9f0,Dacey
0x55f371562370,6,0x55f37156aa10,Dacia
0x55f3715626f0,6,0x55f37156aa70,Dacie
0x55f371560bf0,5,0x55f37156aa90,Dacy
0x55f3715627b0,5,0x55f37156aaf0,Dael
0x55f3715629b0,6,0x55f37156ab50,Daffi
0x55f371562ab0,7,0x55f37156abb0,Daffie
0x55f371562b70,6,0x55f37156ac10,Daffy
0x55f371562c70,7,0x55f37156ac70,Dagmar
0x55f371562cf0,7,0x55f37156acd0,Dahlia
0x55f371562e70,6,0x55f37156ad30,Daile
0x55f371562f70,7,0x55f37156ad90,Daisey
0x55f3715630b0,6,0x55f37156adf0,Daisi
0x55f3715632b0,7,0x55f37156ae50,Daisie
0x55f371563170,6,0x55f37156ae70,Daisy
0x55f371563030,5,0x55f37156ae90,Dale
0x55f3715633f0,8,0x55f37156aef0,Dalenna
0x55f3715631f0,6,0x55f37156af10,Dalia
0x55f3715634b0,7,0x55f37156af30,Dalila
0x55f371563570,7,0x55f37156af50,Dallas
0x55f371563630,8,0x55f37156afb0,Daloris
0x55f3715636f0,7,0x55f37156b010,Damara
0x55f3715637f0,8,0x55f37156b070,Damaris
0x55f3715638f0,7,0x55f37156b0d0,Damita
0x55f371563a30,5,0x55f37156b130,Dana
0x55f37156b0f0,7,0x55f37156b190,Danell
0x55f371563bb0,8,0x55f37156b1f0,Danella
0x55f3715641b0,8,0x55f37156b250,Danette
0x55f371563cf0,5,0x55f37156b2b0,Dani
0x55f371563d70,6,0x55f37156b310,Dania
0x55f3715640b0,7,0x55f37156b330,Danica
0x55f371564270,7,0x55f37156b390,Danice
0x55f3715644f0,8,0x55f37156b3f0,Daniela
0x55f3715647b0,8,0x55f37156b410,Daniele
0x55f371564870,9,0x55f37156b470,Daniella
0x55f371564930,9,0x55f37156b4d0,Danielle
0x55f3715642f0,7,0x55f37156b4f0,Danika
0x55f3715645b0,7,0x55f37156b510,Danila
0x55f371563ff0,6,0x55f37156b530,Danit
0x55f371564a30,7,0x55f37156b590,Danita
0x55f371564730,6,0x55f37156b5b0,Danna
