Data Source File,middle-names.txt
Memory Manager Type,Worst Fit
Total Memory Allocated by sbrk (bytes),17039
Size of freedMBList,2056
Size of allocMBList,867
Number of Times Blocks were Split,1180
Number of Times Blocks were Merged,624
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x55cab8e387f0,5,0x55cab8e42420,Hill
0x55cab8e51c60,9,0x55cab8e429e0,Reinwald
0x55cab8e39d70,5,0x55cab8e42a40,Holt
0x55cab8e78a00,5,0x55cab8e42c60,Hort
0x55cab8e78a80,5,0x55cab8e42dc0,Hoyt
0x55cab8e79980,5,0x55cab8e42de0,Hube
0x55cab8e79a80,5,0x55cab8e42f00,Huey
0x55cab8e7bdc0,5,0x55cab8e42f20,Hugh
0x55cab8e7c280,5,0x55cab8e42fc0,Hugo
0x55cab8e7c4c0,5,0x55cab8e431e0,Hunt
0x55cab8e7c8c0,3,0x55cab8e434c0,Hy
0x55cab8e7dd80,5,0x55cab8e435a0,Iago
0x55cab8e7e800,5,0x55cab8e435c0,Iain
0x55cab8e7e880,4,0x55cab8e43620,Ian
0x55cab8e7f380,5,0x55cab8e43700,Iggy
0x55cab8e7f7c0,5,0x55cab8e438a0,Igor
0x55cab8e7f900,4,0x55cab8e43900,Ike
0x55cab8e82500,5,0x55cab8e43920,Ikey
0x55cab8e42f60,5,0x55cab8e43b20,Jory
0x55cab8e3c6c0,7,0x55cab8e43d60,Joseph
0x55cab8e82dc0,4,0x55cab8e43e80,Ira
0x55cab8e3a700,4,0x55cab8e43ee0,Irv
0x55cab8e802a0,8,0x55cab8e43fa0,Johnnie
0x55cab8e3a680,4,0x55cab8e44080,Isa
0x55cab8e87d00,4,0x55cab8e44520,Ive
0x55cab8e54fe0,9,0x55cab8e446e0,Reginald
0x55cab8e451c0,5,0x55cab8e447e0,Jeth
0x55cab8e87d60,4,0x55cab8e448c0,Jae
0x55cab8e413e0,6,0x55cab8e44940,Julie
0x55cab8e41000,5,0x55cab8e44b80,Joel
0x55cab8e86e00,4,0x55cab8e44ce0,Jan
0x55cab8e3ee80,6,0x55cab8e44e60,Reggy
0x55cab8e521e0,7,0x55cab8e45160,Rickie
0x55cab8e86e60,4,0x55cab8e45240,Jay
0x55cab8e81460,5,0x55cab8e45340,Jude
